Key,English,Luganda,Khmer,Amharic,Dinka
CONSISTENCY_NUM_TAPS,Choose the number of consistent taps required for calculating the respiratory rate.,Londako emirundi gy'okoonye ku lutimbe egyetaagisibwa okubala enzisa,[t],የአተነፋፈስ መጠን ላማስላት የሚያገለግለውን ተመሳሰይ ንክኪ ብዛት ምረጪ,kueny adet tueny ca beeric yen wiic bi mat kek adet weei
CONSISTENCY_THRESH,Choose the consistency threshold.,Londa emirundi egisalirwako egitakyukakyuka,[t],የተመሳሳይነት መነሻ ምረጪ,kuen ke ca beeric
VIBRATE_SOUND,Vibrate with sound.,Vibrate with sound.,Vibrate with sound.,Vibrate with sound.,Vibrate with sound.
CANCEL,Cancel,Sazaamu,[t],ሰርዝ,temkou
SETTINGS,Settings,Entereeza,[t],ሌቲንግ,cook piiny
NO,No,Nedda,[t],አይደለም,[t]
YES,Yes,Yee,[t],አዎ,[t]
RESTART,Restart,[t],[t],እንደገና ማስጀመር,baan jook
RR_MATCH,Does the breathing rate match the patient?,Enzisa efaanana n'eyomulwadde?,[t],የትንፋሽ መጠኑ ከታማሚው ጋር ይመሳሰላል?,ye weei raan tuany loou ka thoong
EXIT,Exit,[t],[t],ውጪ,loou heer
RRATE,Respiratory Rate:,Enzisa,[t],የአተነፋፈስ መጠን:,weeiyic:
RRATE_UNIT,Breaths/min,[t],[t],የትንፋሸ መጠን በ1 ደfዎ,weei/yuolic
TAP_TO_SYNC,Tap on inhalation to synchronize,[t],[t],[t],[t]
FAST,Fast,Kumuukum,[t],ፈጣን,apuol
CONSISTENT,Consistent,Bikwatagana,[t],ተመሳሳይ,beeric
CONSISTENTD,Consistent,Bikwatagana,[t],ተመሳሳይ,beeric
SLOW,Slow,Mpola,[t],ዝግ ያለ,ee cath amath
TAP_INHALATION,Tap on inhalation,Koona ku kigambo "okusika omukka",[t],[t],tuany tene weei alongthinic
TAPS_INCONSISTENT,Taps are inconsistent. Please try again.,Byonyize Tebikwatagana,[t],የተዘበራረቀ ንክኪ. እባክሽ ደግመሽ ሞክሪው.,tuany aci beeric. theem det.
NOT_ENOUGH_TAPS,Not enough taps. Please try again.,Emilundi gy'onyize tegiweeze,[t],በቂ ያልሆነ ንክኪ. እባክሽ ደግመሽ ሞክሪው.,akac tuany apeth. theem det.
TAPS_TOO_FAST,Taps are too fast. Please try again.,Onyigidde Kumuukumu,[t],በጣም ፈጣን ንክኪ. እባክሽ ደግመሽ ሞክሪው.,tuany apuol apeidit. theem det.
RETRY,Retry,[t],[t],ደግመሽ ሞክሪው,baan theem
IGNORE,Ignore,[t],[t],ተይው,akac gaam
INCONSISTENT,Inconsistent,Tebikwatagana,[t],ተመሳሳይ ያልሆነ,aci yeic beeric
M_MEDIAN,M = Median Time Interval,M = amakati ng'obala essaawa mu kussa,[t],አ = አማካይ የግዜ መጠን,M = yuol ci thong
C_CONSISTENCY,C = Consistency Threshold,C = webikoma okukwatagana,[t],ተ = የተመሳሳነት መነሻ,C = beericde
M_pC,M + C,M + C,M + C,አ+ተ,M + C,
M,M,M,M,አ,M
M_mC,M - C,M - C,M - C,አ-ተ,M - C
